Cocktail Name,Ingredients,Directions,Popularity Rank,Cocktail Image URL,Cocktail Image Path,Ingredient Name,Ingredient Image URL,Ingredient Image Path
A. J.,"Applejack, Grapefruit juice","Shake ingredients with ice, strain into a cocktail glass, and serve.","Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,/Users/yam/git-projects/pourify/Cocktail_A. J..jpg,Applejack,https://www.thecocktaildb.com/images/ingredients/applejack.png,/Users/yam/git-projects/pourify/Ingredient_Applejack.jpg
A. J.,"Applejack, Grapefruit juice","Shake ingredients with ice, strain into a cocktail glass, and serve.","Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,/Users/yam/git-projects/pourify/Cocktail_A. J..jpg,Grapefruit juice,https://www.thecocktaildb.com/images/ingredients/grapefruit juice.png,/Users/yam/git-projects/pourify/Ingredient_Grapefruit juice.jpg
Affair,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,/Users/yam/git-projects/pourify/Cocktail_Affair.jpg,Strawberry schnapps,https://www.thecocktaildb.com/images/ingredients/strawberry schnapps.png,/Users/yam/git-projects/pourify/Ingredient_Strawberry schnapps.jpg
Affair,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,/Users/yam/git-projects/pourify/Cocktail_Affair.jpg,Orange juice,https://www.thecocktaildb.com/images/ingredients/orange juice.png,/Users/yam/git-projects/pourify/Ingredient_Orange juice.jpg
Affair,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,/Users/yam/git-projects/pourify/Cocktail_Affair.jpg,Cranberry juice,https://www.thecocktaildb.com/images/ingredients/cranberry juice.png,/Users/yam/git-projects/pourify/Ingredient_Cranberry juice.jpg
Affair,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,/Users/yam/git-projects/pourify/Cocktail_Affair.jpg,Club soda,https://www.thecocktaildb.com/images/ingredients/club soda.png,/Users/yam/git-projects/pourify/Ingredient_Club soda.jpg
Apello,"Orange juice, Grapefruit juice, Apple juice, Maraschino cherry",Stirr. Grnish with maraschino cherry.,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,/Users/yam/git-projects/pourify/Cocktail_Apello.jpg,Orange juice,https://www.thecocktaildb.com/images/ingredients/orange juice.png,/Users/yam/git-projects/pourify/Ingredient_Orange juice.jpg
Apello,"Orange juice, Grapefruit juice, Apple juice, Maraschino cherry",Stirr. Grnish with maraschino cherry.,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,/Users/yam/git-projects/pourify/Cocktail_Apello.jpg,Grapefruit juice,https://www.thecocktaildb.com/images/ingredients/grapefruit juice.png,/Users/yam/git-projects/pourify/Ingredient_Grapefruit juice.jpg
Apello,"Orange juice, Grapefruit juice, Apple juice, Maraschino cherry",Stirr. Grnish with maraschino cherry.,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,/Users/yam/git-projects/pourify/Cocktail_Apello.jpg,Apple juice,https://www.thecocktaildb.com/images/ingredients/apple juice.png,/Users/yam/git-projects/pourify/Ingredient_Apple juice.jpg
Apello,"Orange juice, Grapefruit juice, Apple juice, Maraschino cherry",Stirr. Grnish with maraschino cherry.,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,/Users/yam/git-projects/pourify/Cocktail_Apello.jpg,Maraschino cherry,https://www.thecocktaildb.com/images/ingredients/maraschino cherry.png,/Users/yam/git-projects/pourify/Ingredient_Maraschino cherry.jpg
