Cocktail Name,Ingredients,Directions,Popularity Rank,Cocktail Image URL,Cocktail Image Path,Ingredient Name,Ingredient Image URL,Ingredient Image Path
Affinity,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,/Users/yam/git-projects/pourify/Cocktail_Affinity.jpg,Sweet Vermouth,https://www.thecocktaildb.com/images/ingredients/sweet vermouth.png,/Users/yam/git-projects/pourify/Ingredient_Sweet Vermouth.jpg
Affinity,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,/Users/yam/git-projects/pourify/Cocktail_Affinity.jpg,Dry Vermouth,https://www.thecocktaildb.com/images/ingredients/dry vermouth.png,/Users/yam/git-projects/pourify/Ingredient_Dry Vermouth.jpg
Affinity,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,/Users/yam/git-projects/pourify/Cocktail_Affinity.jpg,Orange bitters,https://www.thecocktaildb.com/images/ingredients/orange bitters.png,/Users/yam/git-projects/pourify/Ingredient_Orange bitters.jpg
Applecar,"Applejack, Triple sec, Lemon juice","Shake all ingredients with ice, strain into a cocktail glass, and serve.","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,/Users/yam/git-projects/pourify/Cocktail_Applecar.jpg,Applejack,https://www.thecocktaildb.com/images/ingredients/applejack.png,/Users/yam/git-projects/pourify/Ingredient_Applejack.jpg
Applecar,"Applejack, Triple sec, Lemon juice","Shake all ingredients with ice, strain into a cocktail glass, and serve.","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,/Users/yam/git-projects/pourify/Cocktail_Applecar.jpg,Triple sec,https://www.thecocktaildb.com/images/ingredients/triple sec.png,/Users/yam/git-projects/pourify/Ingredient_Triple sec.jpg
Applecar,"Applejack, Triple sec, Lemon juice","Shake all ingredients with ice, strain into a cocktail glass, and serve.","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,/Users/yam/git-projects/pourify/Cocktail_Applecar.jpg,Lemon juice,https://www.thecocktaildb.com/images/ingredients/lemon juice.png,/Users/yam/git-projects/pourify/Ingredient_Lemon juice.jpg
Aviation,"Gin, lemon juice, maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,/Users/yam/git-projects/pourify/Cocktail_Aviation.jpg,Gin,https://www.thecocktaildb.com/images/ingredients/gin.png,/Users/yam/git-projects/pourify/Ingredient_Gin.jpg
Aviation,"Gin, lemon juice, maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,/Users/yam/git-projects/pourify/Cocktail_Aviation.jpg,lemon juice,https://www.thecocktaildb.com/images/ingredients/lemon juice.png,/Users/yam/git-projects/pourify/Ingredient_lemon juice.jpg
Aviation,"Gin, lemon juice, maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,/Users/yam/git-projects/pourify/Cocktail_Aviation.jpg,maraschino liqueur,https://www.thecocktaildb.com/images/ingredients/maraschino liqueur.png,/Users/yam/git-projects/pourify/Ingredient_maraschino liqueur.jpg
Adam Bomb,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,/Users/yam/git-projects/pourify/Cocktail_Adam Bomb.jpg,Rum,https://www.thecocktaildb.com/images/ingredients/rum.png,/Users/yam/git-projects/pourify/Ingredient_Rum.jpg
Adam Bomb,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,/Users/yam/git-projects/pourify/Cocktail_Adam Bomb.jpg,Vodka,https://www.thecocktaildb.com/images/ingredients/vodka.png,/Users/yam/git-projects/pourify/Ingredient_Vodka.jpg
Adam Bomb,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,/Users/yam/git-projects/pourify/Cocktail_Adam Bomb.jpg,Tequila,https://www.thecocktaildb.com/images/ingredients/tequila.png,/Users/yam/git-projects/pourify/Ingredient_Tequila.jpg
Adam Bomb,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,/Users/yam/git-projects/pourify/Cocktail_Adam Bomb.jpg,Triple sec,https://www.thecocktaildb.com/images/ingredients/triple sec.png,/Users/yam/git-projects/pourify/Ingredient_Triple sec.jpg
